,id_acidente,id_vitima,id_veiculo,sexo,idade,tipo_vitima,classificacao,tipo_veiculo,estado_alcoolizacao,escolaridade,data_obito,data_ocorrencia,latitude_x,longitude_x,end_x,geocode_x,cadloga,cadlogb,alt_num,referencia,data,cod_acid,dp,talao,feridos,mortos,distrito_atz,princ_a,princ_b,tipo_acidente,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_info,carroca,latitude_y,longitude_y,end_y,geocode_y,flag_cruzamento
0,D011100169,1,1.0,F,63,PD,F,BI,BR,8,,2011-01-17 09:30,-23.537110000000002,-46.6155,"RUA CASIMIRO DE ABREU, 399",MapInfo CET,4539,,399,,2011-01-17 09:30,4,12,183,1,0,BR,4539.0,,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.537115,-46.6155,"RUA CASIMIRO DE ABREU, 399",MapInfo CET,False
1,D011100174,1,1.0,F,66,PD,F,BI,BR,3,,2011-01-30 10:23,-23.54256,-46.62015,"RUA CORREIA DE ANDRADE, 63",MapInfo CET,5372,,63,,2011-01-30 10:23,4,12,254,1,0,CT,5372.0,,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.542563,-46.620155,"RUA CORREIA DE ANDRADE, 63",MapInfo CET,False
2,D011100184,1,2.0,F,49,CD,F,BI,BR,5,,2011-01-04 15:47,-23.53642,-46.64235,AV RIO BRANCO AND AV DUQ DE CAXIAS,MapInfo CET,17115,4659.0,,,2011-01-04 15:47,2,77,67,1,0,HG,4659.0,17115.0,CL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.536425,-46.642351,AV RIO BRANCO X AV DUQ DE CAXIAS,MapInfo CET,True
3,D011100929,1,2.0,F,17,CD,F,BI,BR,4,,2011-01-31 17:00,-23.48943,-46.59667,"RUA CANDIDO FIGUEIREDO, 316",MapInfo CET,4105,,316,,2011-01-31 17:00,2,39,1160,1,0,MC,4105.0,,CT,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-23.489432,-46.596677,"RUA CANDIDO FIGUEIREDO, 316",MapInfo CET,False
4,D011101048,1,1.0,F,SI,PD,F,BI,BR,8,,2011-01-06 15:00,-23.4894,-46.58747,RUA REV ISRAEL VIEIRA FERREIRA AND RUA JOAO DE SOUTO MAIOR,MapInfo CET,9414,10262.0,,,2011-01-06 15:00,4,90,64,1,0,FL,5705.0,9414.0,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.489403,-46.58747,RUA REV ISRAEL VIEIRA FERREIRA X RUA JOAO DE SOUTO MAIOR,MapInfo CET,True
5,D011101383,1,3.0,F,32,CD,F,BI,BR,6,,2011-01-31 00:15,-23.65643,-46.67954,"AV INTERLAGOS, 371",MapInfo CET,9220,,371,,2011-01-31 00:15,2,99,461,1,0,,9220.0,,CO,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.656437,-46.679542,"AV INTERLAGOS, 371",MapInfo CET,False
6,D011101456,1,2.0,F,24,CD,F,BI,BR,3,,2011-01-28 06:45,-23.4829,-46.43243,"AV DR JOSE ARTUR NOVA, 1485",MapInfo CET,10785,,1485,,2011-01-28 06:45,2,22,547,1,0,PE,10785.0,,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.482909,-46.43243,"AV DR JOSE ARTUR NOVA, 1485",MapInfo CET,False
7,D021100428,1,1.0,F,68,PS,F,AU,BR,7,,2011-02-07 10:29,-23.595029999999998,-46.68351,"RUA OLIMPIADAS, 10",MapInfo CET,14944,,10,,2011-02-07 10:29,2,96,698,2,0,IB,14944.0,,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.595039,-46.683514,"RUA OLIMPIADAS, 10",MapInfo CET,False
8,D021100471,1,2.0,F,34,CD,F,BI,BR,3,,2011-02-14 06:40,-23.5229,-46.6576,"AV MARQ DE SAO VICENTE, ",MapInfo CET,6471,,,PXR.NICOLAS BOE,2011-02-14 06:40,2,7,1098,1,0,SP,6471.0,,CO,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.522906,-46.657601,AV MARQ DE SAO VICENTE,MapInfo CET,False
9,D021100608,1,2.0,F,18,CD,F,BI,BR,3,,2011-02-09 15:52,-23.5153,-46.7407,RUA DOM PEDRO HENRIQUE DE O.E BRAGANCA AND RUA AGRESTINA,MapInfo CET,17170,339.0,,,2011-02-09 15:52,2,33,787,1,0,FL,339.0,17170.0,CO,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-23.5153,-46.740704,RUA DOM PEDRO HENRIQUE DE O.E BRAGANCA X RUA AGRESTINA,MapInfo CET,True
10,D021101142,1,2.0,F,26,CD,F,BI,BR,8,,2011-02-10 22:00,-23.456879999999998,-46.586909999999996,"RUA MARIA AMALIA LOPES AZEVEDO, 4052",MapInfo CET,13133,,4052,,2011-02-10 22:00,2,73,1548,1,0,MC,13133.0,,CO,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.456879999999998,-46.586909999999996,"RUA MARIA AMALIA LOPES AZEVEDO, 4052",MapInfo CET,False
11,D021101205,1,1.0,F,09,CD,F,BI,BR,8,,2011-02-17 18:30,-23.516779999999997,-46.56572,"RUA CABO ROMEU CASAGRANDE, 342",MapInfo CET,17363,,342,,2011-02-17 18:30,2,90,2068,1,0,MC,17363.0,,SI,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.516783,-46.565728,"RUA CABO ROMEU CASAGRANDE, 342",MapInfo CET,False
12,D021101566,1,2.0,F,10,CD,F,BI,BR,1,,2011-02-10 17:00,-23.65719,-46.73499,"RUA GERALDO BRETAS, 06",MapInfo CET,69117,,06,,2011-02-10 17:00,2,92,1086,1,0,CL,69117.0,,QM,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.657191,-46.734992,"RUA GERALDO BRETAS, 06",MapInfo CET,False
13,D021101884,2,1.0,F,30,PD,F,BI,BR,6,,2011-02-07 12:40,-23.55009,-46.43591,"RUA SILVIANOPOLIS, 31",MapInfo CET,18243,,31,,2011-02-07 12:40,4,103,502,2,0,VA,18243.0,,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.550092000000003,-46.435912,"RUA SILVIANOPOLIS, 31",MapInfo CET,False
14,D031100531,1,1.0,F,49,PD,F,BI,BR,5,,2011-03-28 09:00,-23.570970000000003,-46.690940000000005,AV EUSEBIO MATOSO AND AV BRIG FARIA LIMA,MapInfo CET,6819,6897.0,,,2011-03-28 09:00,4,14,2168,1,0,LP,6897.0,16919.0,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.570971,-46.690946000000004,AV EUSEBIO MATOSO X AV BRIG FARIA LIMA,MapInfo CET,True
15,D031100747,1,1.0,F,54,CD,F,BI,BR,7,,2011-03-13 10:45,-23.58679,-46.69866,"RUA VOTUVERAVA, ",MapInfo CET,19889,,,PXAV VITAL BRAS,2011-03-13 10:45,2,51,1261,1,0,BT,19817.0,,CO,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-23.586793,-46.698668,RUA VOTUVERAVA,MapInfo CET,False
16,D031100978,1,1.0,F,73,PD,F,BI,BR,8,,2011-03-04 13:46,-23.45813,-46.60565,"RUA MARIA AMALIA LOPES AZEVEDO, 2023",MapInfo CET,13133,,2023,,2011-03-04 13:46,4,20,956,1,0,MC,13133.0,,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.45813,-46.605653000000004,"RUA MARIA AMALIA LOPES AZEVEDO, 2023",MapInfo CET,False
17,D031101079,2,1.0,F,39,PS,F,MO,BR,7,,2011-03-28 23:00,-23.46964,-46.6583,"AV PARADA PINTO, 1300",MapInfo CET,15426,,1300,,2011-03-28 23:00,2,38,3827,2,0,SP,15426.0,,CO,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.469642999999998,-46.658308,"AV PARADA PINTO, 1300",MapInfo CET,False
18,D031101444,1,1.0,F,36,CD,F,BI,BR,5,,2011-03-16 10:30,-23.63541,-46.71392,AV JOAO CARLOS DA SILVA BORGES AND AV PROF ALCEU MAYNARD ARAUJO,Google Manual,10198,551.0,,,2011-03-16 10:30,2,11,2871,1,0,CL,551.0,10198.0,CO,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-23.635417,-46.7139297,AV JOAO CARLOS DA SILVA BORGES X AV PROF ALCEU MAYNARD ARAUJO,Google Manual,True
19,D031101650,1,2.0,F,28,CD,F,BI,BR,4,,2011-03-19 11:05,-23.69078,-46.711059999999996,"AV INACIO CUNHA LEME, 493",MapInfo CET,9104,,493,,2011-03-19 11:05,2,102,1061,1,0,CS,9104.0,,CO,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.690787,-46.711069,"AV INACIO CUNHA LEME, 493",MapInfo CET,False
20,D031101658,2,1.0,F,28,PS,F,MO,BR,6,,2011-03-01 14:14,-23.48766,-46.42326,"RUA ALTOS DO OITI, 2",MapInfo CET,15500,,2,,2011-03-01 14:14,2,22,1244,2,0,PE,15500.0,,CO,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.487668,-46.42326,"RUA ALTOS DO OITI, 2",MapInfo CET,False
21,D031101778,1,1.0,F,SI,PD,F,BI,BR,5,,2011-03-16 20:40,-23.49522,-46.46997,"AV ABEL TAVARES, ",MapInfo CET,16634,,,PX CIANE,2011-03-16 20:40,4,62,1233,1,0,PE,42792.0,,AT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.49522,-46.469972,AV ABEL TAVARES,MapInfo CET,False
22,D031102023,1,1.0,F,09,CD,F,BI,BR,8,,2011-03-13 14:00,-23.563760000000002,-46.4889,"RUA JULIA ANTONIETA T. GUERRA, 541",MapInfo CET,23683,,541,,2011-03-13 14:00,2,66,1193,1,0,VA,23683.0,,QM,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.563763,-46.4889,"RUA JULIA ANTONIETA T. GUERRA, 541",MapInfo CET,False
23,D041100511,1,2.0,F,19,CD,F,BI,BR,3,,2011-04-29 17:55,-23.515439999999998,-46.69642,"AV ERMANO MARCHETTI, 457",MapInfo CET,6544,,457,,2011-04-29 17:55,2,7,2996,1,0,FL,6544.0,,CL,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-23.515449,-46.696426,"AV ERMANO MARCHETTI, 457",MapInfo CET,False
24,D041100823,1,2.0,F,14,PS,F,BI,BR,3,,2011-04-06 19:05,-23.61685,-46.731609999999996,"AV GIOVANNI GRONCHI, 4200",MapInfo CET,8000,,4200,,2011-04-06 19:05,2,89,1643,1,0,BT,8000.0,,CO,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-23.616858999999998,-46.731617,"AV GIOVANNI GRONCHI, 4200",MapInfo CET,False
